Image Name,Predicted Label
63,5
189,5
77,1
162,5
176,7
88,0
228,7
214,0
200,0
201,3
215,7
229,2
177,2
89,3
163,7
188,1
76,7
62,4
74,5
60,4
48,4
149,1
175,5
161,0
203,7
217,0
216,5
202,5
160,2
174,0
148,2
49,3
61,0
75,7
59,0
71,7
65,7
170,1
164,0
158,0
206,1
212,5
213,5
207,5
159,6
165,4
171,0
64,7
70,1
58,1
8,0
198,1
66,1
72,5
167,0
99,6
173,0
211,3
205,0
204,7
210,7
172,0
166,0
98,0
73,1
199,2
67,2
9,1
14,7
28,4
129,5
101,4
115,2
114,7
100,7
128,0
29,2
15,1
17,1
116,3
102,5
103,0
117,3
16,7
12,7
113,5
107,7
106,0
112,7
13,2
39,5
11,2
104,2
110,7
138,4
139,3
111,7
105,2
10,4
38,0
21,0
35,4
108,4
120,7
134,7
135,5
121,1
109,7
34,1
20,5
36,3
22,1
137,0
123,1
122,6
136,4
23,0
37,5
33,0
27,2
132,7
126,6
127,0
133,1
26,4
32,6
18,0
24,1
30,5
125,0
131,3
119,4
118,5
130,1
124,1
31,5
25,0
19,1
42,2
4,0
56,0
180,6
194,1
81,5
95,3
143,1
157,1
209,2
221,6
220,5
208,4
156,0
142,5
94,1
80,0
195,4
181,2
5,2
57,6
43,0
55,0
7,1
41,5
69,4
197,3
183,0
96,7
168,7
82,0
154,4
140,0
222,5
223,4
141,0
155,0
83,1
97,0
169,3
182,7
68,1
196,7
40,3
54,0
6,2
192,0
78,7
186,1
2,6
50,1
44,7
151,0
145,7
93,0
87,5
179,0
227,2
226,4
86,0
178,0
92,3
144,0
150,7
45,0
3,2
51,0
79,6
187,2
193,0
185,7
191,0
47,1
53,5
1,4
146,1
152,7
84,4
90,5
224,3
218,7
219,0
225,4
91,2
85,2
153,0
147,2
52,0
0,5
46,2
190,2
184,0
